系列	产品名	产品介绍	参考市场定价，中国国内定价	跨境电商定价（欧元€）
巧手非遗体验系列	蓝染奇趣盒	这款蓝染奇趣盲盒专为亲子手作打造，将传统蓝染工艺转化为充满惊喜的盲盒玩法。盒内随机搭配天然靛蓝染料、纯棉布料、不同款式的绑扎工具，还藏有神秘的蓝印花布经典纹样模板，每一次开箱都是未知的乐趣。家长和孩子可以携手解锁捆扎、夹染等玩法，在动手实践中探秘非遗工艺，收获专属于亲子的手作成就感与惊喜记忆。	89/套	11.99 €
巧手非遗体验系列	趣味拼豆创意盒	以蓝印花布经典纹样为灵感，打造专属亲子的趣味拼豆创意盒。盒内包含不同色系的拼豆、模板、熨烫纸、镊子等工具，图案涵盖缠枝莲、云纹、小蓝花等国风元素。家长可陪伴孩子对照模板拼搭，也能自由发挥创作新图案，在专注拼贴的过程中锻炼孩子的手眼协调能力，拼好的成品还能做成钥匙扣、冰箱贴。	69/套	9.49 €
巧手非遗体验系列	3D立体拼图	这款3D立体拼图取材于蓝印花布的经典应用场景，如江南水乡的乌篷船等，将国风美学与益智拼装相结合。拼图零件边缘光滑、咬合紧密，家长和孩子可以分工协作，一步步搭建出立体的国风场景。拼装过程中既能锻炼孩子的空间想象力与动手能力，又能在沉浸式体验中感受江南的雅致韵味，拼好的模型还能作为家居摆件，留存亲子协作的成就感。	79/套	10.99 €
巧手非遗体验系列	小小织布匠·扎染体验套装	集织布与扎染两大传统手工艺于一体的亲子体验套装，专为儿童设计迷你织布机，搭配纯棉纱线、靛蓝染料、绑扎绳等材料。家长可以陪孩子先在织布机上体验经纬交织的乐趣，织出小块布片，再用扎染工艺为织好的布料上色，亲手打造独属于自己的蓝印花布小物件。套装操作难度适中，让孩子在一织一染间感受传统手工艺的魅力，也让亲子互动充满创意与文化气息。	128/套	16.99 €
巧手非遗体验系列	手编团扇包	这款手编团扇包是亲子手作的创意之选，将手编工艺与蓝印花布元素巧妙融合。套装内含编织线材、蓝印花布贴片、团扇骨架、针线等材料，教程详细易懂。家长和孩子可以一起动手编织扇包主体，再将蓝印花布贴片装饰其上，制作出一把兼具实用性与观赏性的团扇包。成品既可作为夏日纳凉的团扇，又能当作小巧的零钱包收纳随身小物，每一针一线都饱含亲子协作的温馨时光。	109/套	14.49 €
				
宴席	主题桌旗	采用纯棉蓝印花布材质，纹样为 “缠枝莲”“宝相花” 等吉祥纹样，尺寸适配 8 人桌、10 人桌等常规宴席桌型，边缘做流苏或锁边处理，可搭配同纹样小桌旗用于签到台、甜品台	89-159 元 / 条	12.9-22.9€/ 条
宴席	席位卡与桌号牌	底座为实木材质，正面嵌入蓝印花布贴片，贴片纹样为 “小团花”“回纹”，席位卡标注宾客姓名，桌号牌为靛蓝底色 + 白色纹样数字	29-59 元 / 个	4.2-8.5€/ 个
宴席	餐具摆盘装饰垫	圆形小餐垫，材质为防水棉麻蓝印花布，纹样为 “缠枝纹”“卷草纹”，放置于餐盘底部，起装饰与防烫作用；配套餐花为蓝印花布折叠花，可搭配新鲜绿植点缀餐盘	19-39 元 / 个	2.7-5.6€/ 个
宴席	席位椅饰套装	包含椅套与椅背上挂饰，椅套选用弹力棉麻蓝印花布，纹样为简约回纹，仅包裹椅面与椅背上部；挂饰为蓝印花布香囊（内装檀香）或蝴蝶结（双层印花布叠加）	129-259 元 / 套	18.5-37.2€/ 套
宴席	蓝白渐变印花地毯	用于主舞台台阶、宾客通道，采用防滑材质，蓝白渐变印花设计	299-599 元 / 平方米	42.9-85.9€/ 平方米
